Office Notarial;Adresse;Code postal;Ville;Ville d'întérêt;Département;Mail;Notaires Associés;Notaires Salariés;Nb Associés;Nb Salariés;Service Négo
SELARL François DEBOISE et Nicolas QUETTIER;;22190;PLERIN;Non;Côtes-d’Armor (22);;Me Nicolas QUETTIER;Me Raphaëlle LE BONNIEC-GUILLOIS, Me Aline MASCRE;1;2;Non
Me Marie-Charlotte LAVIGNE;;22190;PLERIN;Non;Côtes-d’Armor (22);;Me Marie-Charlotte LAVIGNE;-;1;0;Oui
ENOTOS - Office Notarial RICHARD - JUMELAIS;;22190;PLERIN;Non;Côtes-d’Armor (22);;Me Anne-Sophie DEMEURE-JUMELAIS, Me Aymeric JUMELAIS;Me Cécile DUFOUR;2;1;Oui
SARL ALEXIS DURET - ESTELLE MESGUEN, NOTAIRES ASSOCIES;;56890;PLESCOP;Oui;Morbihan (56);;Me Alexis DURET, Me Estelle MESGUEN;-;2;0;Non
SARL Sylvain LOUAIL;;22490;PLESLIN TRIGAVOU;Non;Côtes-d’Armor (22);;Me Sylvain LOUAIL;Me Pauline BAUCHET;1;1;Oui
SELAS Lex Silva Notaires;;44630;PLESSE;Non;Loire-Atlantique (44);;Me Fabienne BORGARD;-;1;0;Non
SELARL LES NOTAIRES DE LA LIEUE DE GREVE;;22310;PLESTIN LES GREVES;Non;Côtes-d’Armor (22);;Me Viviane GUIMBERTEAU;-;1;0;Oui
Me Morgane LE GROS;;22310;PLESTIN LES GREVES;Non;Côtes-d’Armor (22);;Me Morgane LE GROS;-;1;0;Non
SELARL ARMORIQUE NOTARIAT;;22610;PLEUBIAN;Non;Côtes-d’Armor (22);;Me Armel LEURANGUER;-;1;0;Oui
Me Olivier VERGER-HIARD;;22690;PLEUDIHEN SUR RANCE;Non;Côtes-d’Armor (22);;Me Olivier VERGER-HIARD;-;1;0;Oui
SELARL NOTAIRES - 22560;;22560;PLEUMEUR BODOU;Non;Côtes-d’Armor (22);;Me Sylvain NAGAT;Me Christophe PEDRON;1;1;Oui
SCP Bénédicte BODIN-BERTEL et Véronique RABRAIS;;35730;PLEURTUIT;Non;Ille-et-Vilaine (35);;Me Bénédicte BODIN-BERTEL, Me Véronique RABRAIS;Me William GEHL;2;1;Oui
SELARL Jean-François TATARD et Amélie TATARD-MOREAU;;56270;PLOEMEUR;Non;Morbihan (56);;Me Jean-François TATARD, Me Amélie TATARD-MOREAU;-;2;0;Oui
SARL NOTAIRE CONSEIL OCEAN;;56274;PLOEMEUR;Non;Morbihan (56);;Me Solenn LE QUAY, Me Manuella PENEAU, Me Jean-Philippe REDO;Me Clémence REDO;3;1;Oui
Me Isabelle ALLAIS;;56880;PLOEREN;Non;Morbihan (56);;Me Isabelle ALLAIS;-;1;0;Oui
Me Nicolas TANGUY;;56800;PLOERMEL;Non;Morbihan (56);;Me Nicolas TANGUY;-;1;0;Oui
Me Solène LE STRAT;;56800;PLOERMEL;Non;Morbihan (56);;Me Solène LE STRAT;-;1;0;Non
SELARL BINARD-GRAND-GREVERAND;;56805;PLOERMEL;Non;Morbihan (56);;Me Jean-Claude BINARD, Me Augustin GRAND, Me Benjamin GREVERAND;Me Kelly CHAPON, Me Gwennaïg LE BOULCH;3;2;Oui
Me Nathalie DANREE-LE MAÎTRE;;22150;PLOEUC L'HERMITAGE;Non;Côtes-d’Armor (22);;Me Nathalie DANREE-LE MAÎTRE;-;1;0;Oui
SAS JURIS TREGOR;;22420;PLOUARET;Non;Côtes-d’Armor (22);;Me Anne-Laure ALLANO, Me Anne FERCOQ-LE GUEN, Me Barbara WATTEBLED;-;3;0;Oui
SELARL Olivier ARENS, Danièle PERON et Arnaud LEDAN;;56240;PLOUAY;Non;Morbihan (56);;Me Arnaud LEDAN;-;1;0;Oui
SCP Anne PEAN-TAMPE et Nicolas BOULÉ;;22490;PLOUER SUR RANCE;Non;Côtes-d’Armor (22);;Me Nicolas BOULÉ, Me Anne PEAN-TAMPE;-;2;0;Oui
Me Ronald CHEVALIER;;22440;PLOUFRAGAN;Non;Côtes-d’Armor (22);;Me Ronald CHEVALIER;Me Anne-Sophie MENGUY;1;1;Non
NOTAIRES D'ARMOR;;22580;PLOUHA;Non;Côtes-d’Armor (22);;Me Carole ALLANIC, Me David MAYEUX;Me François TANGUY;2;1;Oui
Me Hélène GUILLERME;;56340;PLOUHARNEL;Non;Morbihan (56);;Me Hélène GUILLERME;-;1;0;Non
Me Corinne COZETTE;;56680;PLOUHINEC;Non;Morbihan (56);;Me Corinne COZETTE;-;1;0;Non
LEGISTEAM TREGOR - SELAS Gilles LE NOAN NOTAIRE;;22300;PLOULEC'H;Non;Côtes-d’Armor (22);;Me Gilles LE NOAN;-;1;0;Oui
Me Jean-Tugdual LE ROUX, office notarial de Ploumilliau;;22300;PLOUMILLIAU;Non;Côtes-d’Armor (22);;Me Jean-Tugdual LE ROUX;-;1;0;Oui
SELARL Marine DRÉAN-GUIGNARD;;56420;PLUMELEC;Non;Morbihan (56);;Me Marine DRÉAN-GUIGNARD;Me Charline DABOUDET-ETIENNE, Me Adrien VILLENAVE;1;2;Oui
SELARL LESLIE BORDRON - NOTAIRE;;56930;PLUMELIAU;Non;Morbihan (56);;Me Leslie BORDRON;-;1;0;Oui
SELARL Alexis MEUNIER et Luc de CHAMPSAVIN;;56330;PLUVIGNER;Non;Morbihan (56);;Me Alexis MEUNIER, Me Luc de CHAMPSAVIN;Me Guénola QUILLAY;2;1;Oui
Me Laure-Anne LE TALOUR;;35131;PONT PEAN;Non;Ille-et-Vilaine (35);;Me Laure-Anne LE TALOUR;-;1;0;Oui
Me Magali JÉHANNE;;44860;PONT ST MARTIN;Non;Loire-Atlantique (44);;Me Magali JÉHANNE;-;1;0;Non
SELAS ENTRE LOIRE ET VILAINE;;44160;PONTCHATEAU;Non;Loire-Atlantique (44);;Me Xavier MERY;Me Loïck COUÉ;1;1;Oui
SCP Fabrice PERRAIS et Yann KERAMBRUN;;44160;PONTCHATEAU;Non;Loire-Atlantique (44);;Me Yann KERAMBRUN, Me Fabrice PERRAIS;-;2;0;Oui
Me Anne-Laure HAMON;;56300;PONTIVY;Non;Morbihan (56);;Me Anne-Laure HAMON;-;1;0;Non
Me Stéphane KERRIEN;;56300;PONTIVY;Non;Morbihan (56);;Me Stéphane KERRIEN;-;1;0;Oui
SELARL Jean-Philippe BELLIN;;56302;PONTIVY;Non;Morbihan (56);;Me Jean-Philippe BELLIN;-;1;0;Oui
SARL Arnaud de RENEVILLE et Laurent GUILLOU;;56304;PONTIVY;Non;Morbihan (56);;Me Arnaud de RENEVILLE, Me Laurent GUILLOU;-;2;0;Oui
SELARL Stéphane PENGAM et Sandra GUILLO;;56303;PONTIVY;Non;Morbihan (56);;Me Sandra GUILLO, Me Stéphane PENGAM;Me Emmanuelle CARO;2;1;Oui
Me Delphine PATARIN;;22260;PONTRIEUX;Non;Côtes-d’Armor (22);;Me Delphine PATARIN;-;1;0;Oui
SELARL Thierry KERAVEC;;44210;PORNIC;Non;Loire-Atlantique (44);;Me Thierry KERAVEC;Me Marie-Sophie STOLECKI;1;1;Oui
SELAS NOTAIRES LOIRE OCEAN;;44212;PORNIC;Non;Loire-Atlantique (44);;Me Frédérick DUVERT, Me Olivier TOSTIVINT;Me Fanny MARTINEZ, Me Audrey ROBREAU;2;2;Oui
Me Patricia ATTIAS;;44380;PORNICHET;Oui;Loire-Atlantique (44);;Me Patricia ATTIAS;Me Julia MANCEAU;1;1;Oui
SAS OFFICE NOTARIAL DU LITTORAL;;44380;PORNICHET;Oui;Loire-Atlantique (44);;Me Valérie MATHIEU, Me Raoul PRÉLY;-;2;0;Non
SCP Notaires Presqu'île associés;;44380;PORNICHET;Oui;Loire-Atlantique (44);;Me Cécile GAUTHIER;Me Sophie PRINCE;1;1;Non
SELARL AUBREE et associés;;56290;PORT LOUIS;Non;Morbihan (56);;Me Bernard AUBREE;-;1;0;Oui
SELARL OFFICE NOTARIAL PORTE DES INDES;;56290;PORT LOUIS;Non;Morbihan (56);;Me Xavier MERRIEN, Me Tanguy PIETRESSON de SAINT-AUBIN;Me Aurélie BERTAUT, Me Marie-Caroline RIOU;2;2;Oui
SELARL Jean-Christophe CABA et Aude MORTEVEILLE-FLEURY;;56230;QUESTEMBERT;Non;Morbihan (56);;Me Aude MORTEVEILLE-FLEURY;-;1;0;Oui
SELARL BNH;;56530;QUEVEN;Non;Morbihan (56);;Me Nolwenn HENAFF-TATIBOUËT;-;1;0;Oui
SELARL Stéphanie LE ROUX;;56530;QUEVEN;Non;Morbihan (56);;Me Stéphanie LE ROUX;-;1;0;Non
SELARL François Angé, Notaire;;56170;QUIBERON;Oui;Morbihan (56);;Me François ANGE;-;1;0;Non
SELARL NOTARMOR;;22800;QUINTIN;Non;Côtes-d’Armor (22);;Me Bruno CORTYL, Me Cécile FLAGEUL, Me Rémi JAGLIN, Me Carine RAOULT;-;4;0;Oui
Me Lucie VIGNERON;;35130;RANNEE;Non;Ille-et-Vilaine (35);;Me Lucie VIGNERON;-;1;0;Oui
Me Thomas MERTEN;;35600;REDON;Non;Ille-et-Vilaine (35);;Me Thomas MERTEN;-;1;0;Non
SCP DOUETTÉ - DOUETTÉ-ROBIC - Notaires associés;;35600;REDON;Non;Ille-et-Vilaine (35);;Me Stéphane DOUETTÉ, Me Maryse DOUETTÉ-ROBIC;Me Sophie EON;2;1;Oui
SCP DOUETTÉ - DOUETTÉ-ROBIC - Notaires associés;;35600;REDON;Non;Ille-et-Vilaine (35);;Me Stéphane DOUETTÉ, Me Maryse DOUETTÉ-ROBIC;Me Sophie EON;2;1;Oui
SCP Gwenolé CAROFF et Anne-Cécile DARDET-CAROFF;;35601;REDON;Non;Ille-et-Vilaine (35);;Me Gwenolé CAROFF, Me Anne-Cécile DARDET-CAROFF;Me Pascale MONIN;2;1;Oui
SAS 1270 NOTAIRES;;35700;RENNES;Oui;Ille-et-Vilaine (35);;Me Constance AILLET;-;1;0;Non
SAS ARCANE;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Me Julien ANTOINE, Me Audrey BURGOS;-;2;0;Non
SARL OFFICE MABILAIS;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Me Josselin CROUAN, Me Maxime MILET;-;2;0;Non
SAS MSVM;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Me Marie-Josèphe MOINS, Me Nathalie SIDNEY-DURAND;Me Monique MORAND;2;1;Oui
Me Aude OLIVIER;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Me Aude OLIVIER;-;1;0;Oui
SARL LIBERTE NOTAIRES - Guillaume PAINSAR Notaire;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Me Guillaume PAINSAR;-;1;0;Non
SAS PINSON - EON;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Me Samuel BRIAND;Me Pierre-Jean GUIHÉNEUF;1;1;Non
Me Sylvie POUCHOL;;35700;RENNES;Oui;Ille-et-Vilaine (35);;Me Sylvie POUCHOL;-;1;0;Non
Me Jocelyn POUESSEL;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Me Jocelyn POUESSEL;Me Anastasia DEMIDOFF, Me Nicolas LEPAGE;1;2;Oui
OFFICE NOTARIAL CLEUNAY LA COURROUZE - Me Stéphanie RUCAY;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Me Stéphanie RUCAY;-;1;0;Oui
SELURL Xavier RÉLU;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Me Xavier RÉLU;-;1;0;Non
Me Luc SERRURIER;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Me Luc SERRURIER;-;1;0;Oui
Maître Rahel SIMON;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Maître Rahel SIMON;-;1;0;Oui
SARL 356 NOTAIRES - Me SABOT et Me FENIOU;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Me Christophe SABOT;-;1;0;Oui
SAS CHEUVREUX RENNES;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Me Gary CONTIN;-;1;0;Oui
Me Hélène CORNARDEAU-TARIEL;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Me Hélène CORNARDEAU-TARIEL;-;1;0;Oui
SAS DS NOTAIRES;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Me Laurent DULIN, Me Christophe SOUFFLEUX;-;2;0;Oui
SARL OFFICE DU DÔME;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Me Alexandre BOUFFLERS;Me Chloé EGRET, Me Renaud LE CAMUS;1;2;Non
Me Sophie FEISTHAMMEL-RENOULT;;35700;RENNES;Oui;Ille-et-Vilaine (35);;Me Sophie FEISTHAMMEL-RENOULT;Me Aurélie BONNEC, Me Marie COLTIER;1;2;Non
Me Carine GIRARD;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Me Carine GIRARD;-;1;0;Non
Me Franck GUILLOTTE;;35700;RENNES;Oui;Ille-et-Vilaine (35);;Me Franck GUILLOTTE;-;1;0;Oui
Me Estelle HUSSON;;35700;RENNES;Oui;Ille-et-Vilaine (35);;Me Estelle HUSSON;-;1;0;Non
Me Hubert KERMARREC;;35000;RENNES;Oui;Ille-et-Vilaine (35);;Me Hubert KERMARREC;-;1;0;Non
Me Ludovic LE BENOIST;;35700;RENNES;Oui;Ille-et-Vilaine (35);;Me Ludovic LE BENOIST;-;1;0;Non
SELURL Valentine LHOMME;;35700;RENNES;Oui;Ille-et-Vilaine (35);;Me Valentine LHOMME;-;1;0;Non
SELARL NEONOT;;35064;RENNES;Oui;Ille-et-Vilaine (35);;Me Alexandre AVENEL, Me Charlotte NOËL;Me Céline CHESNEL, Me Emilie HUON;2;2;Oui
SELAS DYADEIS NOTAIRES;;35043;RENNES;Oui;Ille-et-Vilaine (35);;Me Hélène CATHOU, Me Tanguy CATHOU, Me Virginie DUVACHER-DESHAYES, Me Eric FOUCHÉ;Me Mathilde BRIQUELER, Me Corinne LEGENDRE, Me Carole PESNEAU;4;3;Oui
SARL CHÉZY NOTAIRES;;35064;RENNES;Oui;Ille-et-Vilaine (35);;Me Marie LE CORNO;Me Morgane MIET, Me Frédérique PILLET;1;2;Oui
SAS LEXONOT - Mes CHARPENTIER, LATRILLE, BOURGES, BLOAS et LEMETAYER;;35064;RENNES;Oui;Ille-et-Vilaine (35);;Me Virginie BLOAS, Me Raymond-Xavier BOURGES, Me Matar CHARPENTIER, Me Philippe LATRILLE, Me Vanessa LEMETAYER;Me Rodolphe BOURGEOIS, Me Claire-Line DELABARRE, Me Julia ROCHE, Me Anne TRUMELET;5;4;Oui
SELAS WM NOTARIAT - Me Géraldine HESTEAU;;35043;RENNES;Oui;Ille-et-Vilaine (35);;Me Géraldine HESTEAU;-;1;0;Non
SAS OFFICE DU CARRÉ Notaires;;35012;RENNES;Oui;Ille-et-Vilaine (35);;Me Caroline GODARD, Me Jean-François JOUAN, Me Vincent LEMÉE, Me François-Éric PAULET, Me Charlotte ROBIN;Me Anne-Françoise BOHUON, Me Morgane CARCREFF, Me Hélène CARLUER, Me Loïc LECUYER, Me Carine OLLIVIER, Me Lydie SIMON, Me Nathalie SOURGET;5;7;Oui
SARL NOTAIRES DES LICES - Antoine MORIN, Laurence SOURDAINE, Jean-Baptiste HIGNARD et Claire CHERDRONNET;;35108;RENNES;Oui;Ille-et-Vilaine (35);;Me Claire CHERDRONNET, Me Jean-Baptiste HIGNARD, Me Antoine MORIN, Me Laurence SOURDAINE;Me Sandrine GUYOT, Me Charlotte MAYOL;4;2;Oui
SELARL NOTAIRES DE LA VISITATION - Mes PIRIOUX, MÉVEL, L'OLLIVIER & GUINET;;35108;RENNES;Oui;Ille-et-Vilaine (35);;Me Justine GUINET, Me Thomas L'OLLIVIER, Me Céline MÉVEL, Me Jean-Charles PIRIOUX;-;4;0;Oui
OFFICE NOTARIAL SAINT GERMAIN;;35106;RENNES;Oui;Ille-et-Vilaine (35);;Me Emmanuel GOURS, Me Paul SCOUARNEC;Me Marc BERTIN, Me Fabienne CHEVALIER;2;2;Oui
SAS DUGUESCLIN NOTAIRES RENNES-PARIS;;35103;RENNES;Oui;Ille-et-Vilaine (35);;Me Charles CONSTANS, Me Damien GUEGUEN, Me Marc LAISNÉ, DUGUESCLIN NOTAIRES RENNES-PARIS;Me Nolwenn HERCOUET, Me Nathalie LOUSSOUARN;4;2;Oui
OFFICE DU PARLEMENT;;35101;RENNES;Oui;Ille-et-Vilaine (35);;Me Marlène CHALOPIN;-;1;0;Oui
SELARL MICHEL LE POUPON ET GUILLAUME PIED, NOTAIRES ASSOCIES;;35240;RETIERS;Non;Ille-et-Vilaine (35);;Me Michel LE POUPON, Me Guillaume PIED;-;2;0;Oui
Me Emilie FABRE;;44400;REZE;Non;Loire-Atlantique (44);;Me Emilie FABRE;-;1;0;Non
SELARL Thierry THOMAS, Arnaud HOUIS, Arnaud GIRARD, Marie-Virginie DURAND, Pierre VILLATTE, Cécile BAUD-MILLET et Emmanuelle RICO-CARIO;;44404;REZE;Non;Loire-Atlantique (44);;Me Cécile BAUD-MILLET, Me Marie-Virginie DURAND, Me Arnaud GIRARD, Me Arnaud HOUIS, Me Emmanuelle RICO-CARIO, Me Thierry THOMAS, Me Pierre VILLATTE;Me Thérèse BROUSSARD-BALDONI, Me Laurence GIRAULT, Me Charles GRUNBERG, Me Aurélie MOREAU, Me Vanessa VIAUD;7;5;Oui
SCP Antoine MICHEL et Martial MANCHEC;;44440;RIAILLE;Non;Loire-Atlantique (44);;Me Martial MANCHEC, Me Antoine MICHEL;-;2;0;Oui
SELARL Laure BILESIMO-ROSUEL et Emilie GUIMARHO-GUILLARD, notaires associées;;56220;ROCHEFORT EN TERRE;Non;Morbihan (56);;Me Laure BILESIMO-ROSUEL, Me Emilie GUIMARHO-GUILLARD;-;2;0;Oui
SELARL Claire KORTEBY;;56580;ROHAN;Non;Morbihan (56);;Me Claire KORTEBY;Me Céline RICOIS;1;1;Oui
SCP François-Marie BIENVENUE et Virginie LORET;;35850;ROMILLE;Non;Ille-et-Vilaine (35);;Me François-Marie BIENVENUE, Me Virginie LORET;-;2;0;Oui
SCP OFFICE NOTARIAL DU CENTRE BRETAGNE;;22110;ROSTRENEN;Non;Côtes-d’Armor (22);;Me Aline ASCLAR, Me Valérie HERY;-;2;0;Oui
SELARL LAURA GAGNEUL NOTAIRE;;44660;ROUGE;Non;Loire-Atlantique (44);;Me Laura GAGNEUL;-;1;0;Oui
NOTAIRES D'ARMOR;;22400;SAINT ALBAN;Non;Côtes-d’Armor (22);;Me Jean-Marie CHAUVAC, Me Olivier GOUR;-;2;0;Oui
SCP Notaires Presqu'île associés;;44117;SAINT ANDRE DES EAUX;Non;Loire-Atlantique (44);;Me Jessica LAIR;-;1;0;Non
SCP Claudine BOSSENNEC-LE ROUX et Nicolas BIHR;;35140;SAINT AUBIN DU CORMIER;Non;Ille-et-Vilaine (35);;Me Nicolas BIHR, Me Claudine BOSSENNEC-LE ROUX;-;2;0;Oui
Me Mickaël BÉRANGER;;56890;SAINT AVE;Oui;Morbihan (56);;Me Mickaël BÉRANGER;-;1;0;Oui
SELAS NOTAIRES LOIRE OCEAN;;44250;SAINT BREVIN LES PINS;Oui;Loire-Atlantique (44);;Me Kevin ROUGEOLLE;-;1;0;Non
SCP Thomas PHELIPPEAU et Louis LIEBAULT;;44250;SAINT BREVIN LES PINS;Oui;Loire-Atlantique (44);;Me Louis LIEBAULT, Me Thomas PHELIPPEAU;Me Céline BLIGUET RETAILLEAU;2;1;Oui
Me Bertrand COURBET;;35800;SAINT BRIAC SUR MER;Oui;Ille-et-Vilaine (35);;Me Bertrand COURBET;-;1;0;Oui
SELARL Charles-Tanguy SIMON et Marie de ROTROU-ALBELDA, Notaires associés;;22045;SAINT BRIEUC;Non;Côtes-d’Armor (22);;Me Marie de ROTROU-ALBELDA, Me Charles-Tanguy SIMON;-;2;0;Oui
SELARL NOTALEX 22;;22044;SAINT BRIEUC;Non;Côtes-d’Armor (22);;Me Louis Hubert JARNOUEN de VILLARTAY, Me Anaëlle LE GUEN;Me Céline VAN DER BORGHT;2;1;Oui
SAS NOTAIRES DE LA BAIE;;22000;SAINT BRIEUC;Non;Côtes-d’Armor (22);;Me Yann BROCHEN, Me Julien D'HOINE, Me Alexandre de ROTROU;Me Guylène FÉFEU, Me Marie LE GUENNEC;3;2;Oui
SELARL Rémy D'AGOSTINO et Tiphanie D'AGOSTINO, Notaires associés;;22000;SAINT BRIEUC;Non;Côtes-d’Armor (22);;Me Tiphanie D'AGOSTINO, Me Rémy D'AGOSTINO;-;2;0;Oui
Me Anne LIVENAIS;;22000;SAINT BRIEUC;Non;Côtes-d’Armor (22);;Me Anne LIVENAIS;-;1;0;Non
Me Kathleen BEHAR;;22000;SAINT BRIEUC;Non;Côtes-d’Armor (22);;Me Kathleen BEHAR;-;1;0;Non
SELARL Anne LAUBE, Pierre LHOMME & Marc DELMAS;;22380;SAINT CASAINT LE GUILDO;Non;Côtes-d’Armor (22);;-;-;0;0;Non
SARL OFFICE NOTARIAL LOIRE ET SILLON;;44360;SAINT ETIENNE DE MONTLUC;Non;Loire-Atlantique (44);;Me Hélène HUSAR, Me Laurent MORICEAU, Me Séverine TORTEAU-VANDEMAELE;Me Sophie BOUARD;3;1;Oui
SCP Emmanuel LE CORVIC et Richard LEVIONNOIS;;35590;SAINT GILLES;Non;Ille-et-Vilaine (35);;Me Emmanuel LE CORVIC, Me Richard LEVIONNOIS;-;2;0;Oui
HERMINE NOTAIRES - Mes Catherine ROCHAIX-CELTON et Yannick RIOU;;35760;SAINT GREGOIRE;Oui;Ille-et-Vilaine (35);;Me Yannick RIOU, Me Catherine ROCHAIX-CELTON;-;2;0;Oui
Me Caroline REMILLY;;35760;SAINT GREGOIRE;Oui;Ille-et-Vilaine (35);;Me Caroline REMILLY;Me Marina GUILLAUME;1;1;Non
SELARL Marie-Jeanne SERANDOUR-HUON et Corinne RIMASSON, Notaires Associés;;35760;SAINT GREGOIRE;Oui;Ille-et-Vilaine (35);;Me Corinne RIMASSON, Me Marie-Jeanne SÉRANDOUR-HUON;-;2;0;Oui
SELARL Charlotte PICARD-DAVID - NOTAIRES DE LA VISITATION;;35760;SAINT GREGOIRE;Oui;Ille-et-Vilaine (35);;Me Charlotte PICARD-DAVID;-;1;0;Non
SARL Christine DUCASSE;;35760;SAINT GREGOIRE;Oui;Ille-et-Vilaine (35);;Me Christine DUCASSE;-;1;0;Non
SCP Nicolas BRETÉCHER, Mickaël BARICHE et Fanny HALGAND;;44807;SAINT HERBLAIN;Non;Loire-Atlantique (44);;Me Mickaël BARICHE, Me Nicolas BRETÉCHER, Me Fanny HALGAND;-;3;0;Oui
SELARL AM Associés;;44800;SAINT HERBLAIN;Non;Loire-Atlantique (44);;Me Lucile HAUVILLE-ROSSARD, Me Antoine MAURICE;Me François GUYODO, Me Fabienne RATEL;2;2;Non
SAS Estuaire Notaires;;44800;SAINT HERBLAIN;Non;Loire-Atlantique (44);;Me Laëtitia DURAND-DUBREUIL;-;1;0;Non
SELARL OFFICE NOTARIAL TRIAU;;35136;SAINT JACQUES DE LA LANDE;Non;Ille-et-Vilaine (35);;Me Maxime PAVIOT, Me Antoine TRIAU;-;2;0;Oui
Me Antoine BOUDROT;;56660;SAINT JEAN BREVELAY;Non;Morbihan (56);;Me Antoine BOUDROT;-;1;0;Non
SELARL OFFICE NOTARIAL VIRGINIE PERRIN;;35430;SAINT JOUAN DES GUERETS;Non;Ille-et-Vilaine (35);;Me Virginie PERRIN;-;1;0;Oui
SELARL François BAZIN et Pierre AUDOUIN;;44450;SAINT JULIEN DE CONCELLES;Non;Loire-Atlantique (44);;Me Pierre AUDOUIN, Me François BAZIN;-;2;0;Oui
Me Romain GILLES;;35800;SAINT LUNAIRE;Oui;Ille-et-Vilaine (35);;Me Romain GILLES;-;1;0;Non
SAS Catherine GUILLARD, Notaire;;35400;SAINT MALO;Oui;Ille-et-Vilaine (35);;Me Catherine GUILLARD;-;1;0;Non
SELAS EMERAUDE NOTAIRES SAINT-MALO SOLIDOR;;35418;SAINT MALO;Oui;Ille-et-Vilaine (35);;Me Jean-Marc BORSA, Me Alain GAUTRON, Me Nicolas OREAL;Me Laurianne DUMONT, Me Véronique ONNEE-RUELLAN, Me Loriane PONCELET-GORIN;3;3;Oui
Office VAUBAN Notaires - Degano-Cordier-Renoult;;35409;SAINT MALO;Oui;Ille-et-Vilaine (35);;Me Jean-Michel CORDIER, Me Philippe DEGANO, Me Géraldine RENOULT;Me Ondine BOHUON, Me Léa LETOURNEUR, Me Anne-Sophie SOLEILHAC;3;3;Oui
OFFICE NOTARIAL DE ROCHEBONNE - Me Laurent FRANCOIS;;35404;SAINT MALO;Oui;Ille-et-Vilaine (35);;Me Laurent FRANÇOIS;Me Guillaume ABIVEN;1;1;Oui
OFFICE NOTARIAL DE LA CITE SAINT-MALO INTRA MUROS;;35400;SAINT MALO;Oui;Ille-et-Vilaine (35);;Me Erwan LE ROUILLÉ, Me Charles PIQUEREL;Me Magali DUVEAU;2;1;Oui
SELARL Matthieu LEBRANCHU et Stéphane LE JAMTEL;;35418;SAINT MALO;Oui;Ille-et-Vilaine (35);;Me Stéphane LE JAMTEL, Me Matthieu LEBRANCHU;Me Hervé LEBRANCHU;2;1;Oui
SELARL Carole LEFEVRE-LE SOMMER et Aurélie LANGLOIS-CHALANT, Notaires;;35413;SAINT MALO;Oui;Ille-et-Vilaine (35);;Me Aurélie LANGLOIS-CHALANT, Me Carole LEFEVRE-LE SOMMER;-;2;0;Oui
SCP TRENTE CINQ NOTAIRES;;35400;SAINT MALO;Oui;Ille-et-Vilaine (35);;Me Sophie RIDEAU-SALMON;-;1;0;Oui
SELURL Sophie YVEN, notaires associés;;35400;SAINT MALO;Oui;Ille-et-Vilaine (35);;Me Sophie YVEN;-;1;0;Non
SELARL ETUDE BÉLEM, Edith CARVALHO DRUAIS, Notaire;;35400;SAINT MALO;Oui;Ille-et-Vilaine (35);;Me Edith CARVALHO DRUAIS;-;1;0;Non
Me Anne-Lise FROMAGE;;35400;SAINT MALO;Oui;Ille-et-Vilaine (35);;Me Anne-Lise FROMAGE;-;1;0;Oui
SELURL Guillaume GARNIER;;35404;SAINT MALO;Oui;Ille-et-Vilaine (35);;Me Guillaume GARNIER;-;1;0;Oui
Me Maxime GUÉRIF;;35400;SAINT MALO;Oui;Ille-et-Vilaine (35);;Me Maxime GUÉRIF;-;1;0;Non
Me Laureline LE DÛ;;35400;SAINT MALO;Oui;Ille-et-Vilaine (35);;Me Laureline LE DÛ;-;1;0;Non
SCP Françoise LEPAGE, Céline BARET et Agnès COTTINEAU;;44850;SAINT MARS DU DESERT;Non;Loire-Atlantique (44);;Me Céline BARET, Me Agnès COTTINEAU, Me Françoise LEPAGE;-;3;0;Non
Me Karine PATARD;;35290;SAINT MEEN LE GRAND;Non;Ille-et-Vilaine (35);;Me Karine PATARD;Me Emilie COLAS;1;1;Oui
SELARL OFFICE NOTARIAL DE SAINT-MELOIR-DES-ONDES;;35350;SAINT MELOIR DES ONDES;Non;Ille-et-Vilaine (35);;Me Fabrice JANVIER;Me Yannick AUBRY;1;1;Oui
SCP Laëtitia BERNAERT-GROHARD et Pierre POUSSIER;;44730;SAINT MICHEL CHEF CHEF;Non;Loire-Atlantique (44);;Me Laëtitia BERNAERT-GROHARD;-;1;0;Non
SAS NOT'ATLANTIQUE;;44600;SAINT NAZAIRE;Oui;Loire-Atlantique (44);;Me Yves QUEMENEUR, Me Thierry TESSON, Me Geoffroy de L'ESTOURBEILLON;Me Diane BOEGLIN-DALLIER, Me Claudia CHAUTY, Me Paul-Henri MONVOISIN;3;3;Oui
