Office Notarial;Adresse;Code postal;Ville;Ville d'întérêt;Département;Mail;Notaires Associés;Notaires Salariés;Nb Associés;Nb Salariés;Service Négo
Me Anne-Sophie LOUIS;;35510;CESSON SEVIGNE;Oui;Ille-et-Vilaine (35);;Me Anne-Sophie LOUIS;-;1;0;Non
Me Emmanuelle PHILIPPOT;;35510;CESSON SEVIGNE;Oui;Ille-et-Vilaine (35);;Me Emmanuelle PHILIPPOT;-;1;0;Oui
SAS LEXONOT - Me Aurore GUIHARD;;35510;CESSON SEVIGNE;Oui;Ille-et-Vilaine (35);;Me Aurore GUIHARD;-;1;0;Non
SELARL Office Sabine LELOGEAIS - Hélène DALIBERT-PLOUSEAU;;35510;CESSON SEVIGNE;Oui;Ille-et-Vilaine (35);;Me Hélène DALIBERT-PLOUSEAU, Me Sabine LELOGEAIS;-;2;0;Non
SELARL Typhenn MENGER BELLEC;;35517;CESSON SEVIGNE;Oui;Ille-et-Vilaine (35);;Me Typhenn MENGER BELLEC;-;1;0;Oui
SAS BRMG NOTAIRES;;35512;CESSON SEVIGNE;Oui;Ille-et-Vilaine (35);;Me Laurent BERNADAC, Me Sébastien MIET, Me Nathalie ROBERT;-;3;0;Oui
SCP TRENTE CINQ NOTAIRES;;35135;CHANTEPIE;Non;Ille-et-Vilaine (35);;Me Sophie SONNET;-;1;0;Non
SAS BRMG NOTAIRES - Me Aude LEFEUVRE;;35135;CHANTEPIE;Non;Ille-et-Vilaine (35);;Me Aude LEFEUVRE;-;1;0;Non
SELARL NEONOT;;35571;CHANTEPIE;Non;Ille-et-Vilaine (35);;Me Gaëlle BUNEL;-;1;0;Oui
SAS OFFICE DU CARRÉ Notaires;;35131;CHARTRES DE BRETAGNE;Non;Ille-et-Vilaine (35);;Me Yves de LANGLOIS;-;1;0;Oui
SELARL EMC NOTAIRES;;35220;CHATEAUBOURG;Non;Ille-et-Vilaine (35);;Me Nicolas MÉVEL;Me Adeline PAUMARD;1;1;Oui
Me Antoine COMBE;;44110;CHATEAUBRIANT;Non;Loire-Atlantique (44);;Me Antoine COMBE;-;1;0;Oui
SELARL Alain HUNAULT;;44110;CHATEAUBRIANT;Non;Loire-Atlantique (44);;Me Alain HUNAULT;Me Aude DEBROIZE-VILOCET, Me Benoit HUNAULT;1;2;Oui
SCP Guillaume JOSSO;;44142;CHATEAUBRIANT;Non;Loire-Atlantique (44);;Me Guillaume JOSSO;Me Ernest THIAW;1;1;Oui
SAS FIDELIS NOTAIRES;;35410;CHATEAUGIRON;Non;Ille-et-Vilaine (35);;Me Guillaume DE FRESSE DE MONVAL, Me Aude DE RATULD-LABIA, Me Eric DETCHESSAHAR;Me Léa CLAUZADE-ROBERT;3;1;Oui
SARL Bertrand LE MOGUEDEC et Jérome GONZALEZ;;35410;CHATEAUGIRON;Non;Ille-et-Vilaine (35);;Me Jérome GONZALEZ, Me Bertrand LE MOGUEDEC;Me Anne RUBIN;2;1;Oui
SAS PRADO et associé;;35430;CHATEAUNEUF D'ILLE ET VILAINE;Non;Ille-et-Vilaine (35);;Me Vincent PRADO;Me Rachel CHOMETON, Me Solenne JAMAULT-PICARD;1;2;Oui
SCP Marie-Christine ROLLAND et Vincent DÉREL;;22170;CHATELAUDREN;Non;Côtes-d’Armor (22);;Me Vincent DÉREL, Me Marie-Christine ROLLAND;-;2;0;Oui
SELARL Ariane JOUET, Notaire;;22170;CHATELAUDREN-PLOUAGAT;Non;Côtes-d’Armor (22);;Me Ariane GAULT-JOUET;Me Sophie PAQUAY;1;1;Oui
SELARL NOT'OUEST;;35310;CHAVAGNE;Non;Ille-et-Vilaine (35);;Me Jean-François LE COULS;-;1;0;Non
SELARL OFFICE NOTARIAL DU VIGNOBLE;;44194;CLISSON;Non;Loire-Atlantique (44);;Me Jean MENANTEAU, Me Virginie PÉDRON;Me Marie BAUDU, Me Kévin VISSE;2;2;Oui
SAS Estuaire Notaires;;44192;CLISSON;Non;Loire-Atlantique (44);;Me Christian DEVOS, Me Guillaume ROUILLON, Me Georges TEILLIAIS;Me Céline FAY;3;1;Oui
ETUDE DU MAIL;;35270;COMBOURG;Oui;Ille-et-Vilaine (35);;Me Matthieu BOUYSSONIE, Me Charles LACOURT;-;2;0;Oui
SELARL Corinne JAGAULT-PELERIN et Florence HUPEL-DELAMARRE;;35150;CORPS-NUDS;Non;Ille-et-Vilaine (35);;Me Florence HUPEL-DELAMARRE, Me Corinne JAGAULT-PELERIN;Me Elodie PASSOS PEREIRA, Me Olivier SORAIS;2;2;Oui
SAS ACTORIA NOTAIRES ASSOCIÉS;;44220;COUERON;Non;Loire-Atlantique (44);;Me Pascal MOREAU;-;1;0;Non
SELURL OFFICE NOTARIAL DES BORDS DE LOIRE;;44220;COUERON;Non;Loire-Atlantique (44);;Me Nicolas PAPIN-HOUIS, Me Jérôme TREILLARD;Me Charlotte BERGES;2;1;Oui
Me Céline LE PORT-HERRERO;;56950;CRAC'H;Non;Morbihan (56);;Me Céline LE PORT-HERRERO;-;1;0;Oui
SAS NOTAIRES DE LA BAIE;;22100;DINAN;Oui;Côtes-d’Armor (22);;Me Nadège MENARD-JAMET;-;1;0;Non
SELURL Anne-Sophie GROUSSARD;;22100;DINAN;Oui;Côtes-d’Armor (22);;Me Anne-Sophie GROUSSARD;-;1;0;Oui
SAS LB NOTAIRE;;22100;DINAN;Oui;Côtes-d’Armor (22);;Me Florian LEMOINE;Me Clémence BERGER;1;1;Oui
SAS 1270 NOTAIRES;;22102;DINAN;Oui;Côtes-d’Armor (22);;Me Pierre-Marie CRESPEL, Me Christophe VILLIN;Me Carine BURLOT;2;1;Oui
Me Valerie ALLOT-RANC;;22102;DINAN;Oui;Côtes-d’Armor (22);;Me Valerie ALLOT-RANC;-;1;0;Oui
SELAS LUGAND et ASSOCIÉS;;35800;DINARD;Oui;Ille-et-Vilaine (35);;Me Laurent COZIC, Me François LE DONNANT, Me Hervé LUGAND;-;3;0;Oui
Me Elisabeth BOSSIS;;35800;DINARD;Oui;Ille-et-Vilaine (35);;Me Elisabeth BOSSIS;-;1;0;Non
SCP David SECHE et Guillaume BORDIER;;35120;DOL DE BRETAGNE;Non;Ille-et-Vilaine (35);;Me Guillaume BORDIER, Me David SECHE;Me Samya BELAN;2;1;Oui
VIVIEN & Associés;;56250;ELVEN;Non;Morbihan (56);;Me Frédéric VIVIEN;Me Armelle CHATARD, Me Aude PHILIPPE;1;2;Oui
SCP Anne Sophie JEGOUREL et Yann BLANCHARD;;56410;ERDEVEN;Non;Morbihan (56);;Me Yann BLANCHARD, Me Anne-Sophie JEGOUREL;-;2;0;Oui
SCP Soizick TROTEL et Florent GICQUEL;;22430;ERQUY;Non;Côtes-d’Armor (22);;Me Florent GICQUEL, Me Soizick TROTEL;Me Nathalie MICHEL, Me Carine MONTOUX, Me Philippe RENAUT;2;3;Oui
SARL Stéphane FRÉTIGNÉ et Nicolas BOSQUET;;22680;ETABLES SUR MER;Non;Côtes-d’Armor (22);;Me Nicolas BOSQUET, Me Stéphane FRÉTIGNÉ;Me Julie IDASIAK;2;1;Oui
SELARL PANSART ET ASSOCIES;;22630;EVRAN;Non;Côtes-d’Armor (22);;Me Régis PANSART, Me Paul PANSART;-;2;0;Oui
SCP Yannick BARQ et Sandrine DEBIERRE;;44130;FAY DE BRETAGNE;Non;Loire-Atlantique (44);;Me Yannick BARQ, Me Sandrine DEBIERRE;Me Anne-Frédérique PRIOU;2;1;Oui
SELARL Michel FOUCAULT;;56120;FORGES DE LANOUEE;Non;Morbihan (56);;Me Michel FOUCAULT;Me Sandrine VAQUETTE;1;1;Non
Me Anastasia MOREAU;;35300;FOUGERES;Non;Ille-et-Vilaine (35);;Me Anastasia MOREAU;-;1;0;Non
Me Christophe BARBIER;;35304;FOUGERES;Non;Ille-et-Vilaine (35);;Me Christophe BARBIER;Me Patricia BANNIER;1;1;Oui
SELARL Bastien BLANCHET;;35302;FOUGERES;Non;Ille-et-Vilaine (35);;Me Bastien BLANCHET;Me Aurélia BLANCHET;1;1;Oui
SELARL Laurence CHEFTEL;;35301;FOUGERES;Non;Ille-et-Vilaine (35);;Me Laurence CHEFTEL;-;1;0;Oui
SAS OFFICE DU CARRE - NOTAIRES - LES REMPARTS;;35303;FOUGERES;Non;Ille-et-Vilaine (35);;Me Pauline JOSSELIN;-;1;0;Oui
SELARL RIGAUD & SEIGNARD - NOTAIRES ASSOCIES;;44320;FROSSAY;Non;Loire-Atlantique (44);;Me Fabrice RIGAUD, Me Angélique SEIGNARD;Me Sylvie SABATIER;2;1;Non
Me Jonathan BUTEL;;35850;GEVEZE;Non;Ille-et-Vilaine (35);;Me Jonathan BUTEL;-;1;0;Non
SELARL NOTAIRE PARTENAIRE;;56110;GOURIN;Non;Morbihan (56);;Me Caroline LE MEUR, Me Géraldine TOUZÉ;Me Bernard DESPORTES;2;1;Oui
SCP Florent MICHAUT et Valérie MICHAUT-LESURTEL;;56390;GRAND CHAMP;Non;Morbihan (56);;Me Florent MICHAUT, Me Valérie MICHAUT-LESURTEL;Me Caroline BARBIER-MAUGER;2;1;Non
SARL NOVACTE;;56390;GRAND CHAMP;Non;Morbihan (56);;Me Anne-Sophie GILLET, Me Antoine GILLET;-;2;0;Non
SELARL Marie-Alix LENGLART-LE BEC, Antoine TEITGEN et Matthieu GENTILS;;44119;GRANDCHAMPS DES FONTAINES;Non;Loire-Atlantique (44);;Me Marie-Alix LENGLART-LE BEC;Me Cécile BOQUIEN-VIGNON;1;1;Non
SELARL Marine JANVIER, NOTAIRE;;44290;GUEMENE PENFAO;Non;Loire-Atlantique (44);;Me Marine JANVIER;Me Paméla BOSSARD;1;1;Oui
